Región,Productos seleccionados,Unidad de medida,Date,Price,product_id
Cuyo,Carne picada común,kg,2017-07-01,73.7,19
Noroeste,Lavandina,1.000 cc,2017-07-01,14.95,58
Cuyo,Arroz blanco simple,kg,2017-07-01,18.86,7
Noroeste,Detergente líquido,750 cc,2017-07-01,23.57,28
Noroeste,Arroz blanco simple,kg,2017-07-01,18.63,10
Noroeste,Papa,kg,2017-07-01,10.82,76
Noroeste,Huevos de gallina,Docena,2017-07-01,30.32,46
Noroeste,Leche fresca entera sachet,Litro,2017-07-01,22.53,64
Noroeste,Aceite de girasol,"1,5 litros",2017-07-01,52.13,4
Noroeste,Pollo entero,kg,2017-07-01,36.91,82
Noroeste,Carne picada común,kg,2017-07-01,82.23,22
Noroeste,Fideos secos tipo guisero,500 g,2017-07-01,13.62,34
Cuyo,Aceite de girasol,"1,5 litros",2017-07-01,49.07,1
Noroeste,Azúcar,kg,2017-07-01,16.53,16
Cuyo,Leche fresca entera sachet,Litro,2017-07-01,23.95,61
Patagonia,Jabón de tocador,125 g,2017-07-01,15.3,54
Cuyo,Papa,kg,2017-07-01,12.83,73
Noroeste,Harina de trigo común,kg,2017-07-01,10.55,40
Patagonia,Lavandina,1.000 cc,2017-07-01,16.21,60
Patagonia,Detergente líquido,750 cc,2017-07-01,34.91,30
Patagonia,Azúcar,kg,2017-07-01,21.38,18
Patagonia,Papa,kg,2017-07-01,18.95,78
Patagonia,Huevos de gallina,Docena,2017-07-01,43.78,48
Patagonia,Leche fresca entera sachet,Litro,2017-07-01,24.36,66
Patagonia,Aceite de girasol,"1,5 litros",2017-07-01,50.25,6
Cuyo,Huevos de gallina,Docena,2017-07-01,36.04,43
Patagonia,Pollo entero,kg,2017-07-01,43.04,84
Patagonia,Fideos secos tipo guisero,500 g,2017-07-01,21.02,36
Patagonia,Arroz blanco simple,kg,2017-07-01,26.33,12
Patagonia,Harina de trigo común,kg,2017-07-01,11.79,42
Patagonia,Pan francés,kg,2017-07-01,38.68,72
Cuyo,Jabón de tocador,125 g,2017-07-01,14.25,49
Cuyo,Lavandina,1.000 cc,2017-07-01,14.61,55
Cuyo,Detergente líquido,750 cc,2017-07-01,22.11,25
Cuyo,Azúcar,kg,2017-07-01,18.13,13
Patagonia,Carne picada común,kg,2017-07-01,91.64,24
Noroeste,Pan francés,kg,2017-07-01,33.1,70
