Región,Productos seleccionados,Unidad de medida,Date,Price,product_id
Noroeste,Huevos de gallina,Docena,2019-03-01,66.05,46
Noroeste,Leche fresca entera sachet,Litro,2019-03-01,41.73,64
Noroeste,Aceite de girasol,"1,5 litros",2019-03-01,100.86,4
Noroeste,Pollo entero,kg,2019-03-01,87.27,82
Noroeste,Carne picada común,kg,2019-03-01,154.54,22
Noroeste,Fideos secos tipo guisero,500 g,2019-03-01,32.46,34
Noroeste,Arroz blanco simple,kg,2019-03-01,38.23,10
Cuyo,Pollo entero,kg,2019-03-01,91.65,79
Noroeste,Azúcar,kg,2019-03-01,27.66,16
Cuyo,Aceite de girasol,"1,5 litros",2019-03-01,97.3,1
Patagonia,Arroz blanco simple,kg,2019-03-01,49.17,12
Cuyo,Huevos de gallina,Docena,2019-03-01,76.85,43
Noroeste,Pan francés,kg,2019-03-01,63.14,70
Patagonia,Lavandina,1.000 cc,2019-03-01,34.61,60
Patagonia,Detergente líquido,750 cc,2019-03-01,71.98,30
Patagonia,Azúcar,kg,2019-03-01,35.05,18
Patagonia,Papa,kg,2019-03-01,30.07,78
Patagonia,Huevos de gallina,Docena,2019-03-01,81.56,48
Patagonia,Leche fresca entera sachet,Litro,2019-03-01,45.91,66
Patagonia,Aceite de girasol,"1,5 litros",2019-03-01,99.62,6
Cuyo,Leche fresca entera sachet,Litro,2019-03-01,44.03,61
Patagonia,Pollo entero,kg,2019-03-01,92.65,84
Patagonia,Fideos secos tipo guisero,500 g,2019-03-01,42.92,36
Patagonia,Harina de trigo común,kg,2019-03-01,33.93,42
Patagonia,Pan francés,kg,2019-03-01,73.09,72
Cuyo,Jabón de tocador,125 g,2019-03-01,26.79,49
Cuyo,Lavandina,1.000 cc,2019-03-01,33.74,55
Cuyo,Detergente líquido,750 cc,2019-03-01,44.97,25
Cuyo,Azúcar,kg,2019-03-01,31.22,13
Cuyo,Papa,kg,2019-03-01,19.74,73
Patagonia,Carne picada común,kg,2019-03-01,185.96,24
Patagonia,Jabón de tocador,125 g,2019-03-01,29.05,54
Noreste,Jabón de tocador,125 g,2019-03-01,26.52,51
Noreste,Detergente líquido,750 cc,2019-03-01,41.44,27
Pampeana,Arroz blanco simple,kg,2019-03-01,43.9,11
Pampeana,Harina de trigo común,kg,2019-03-01,31.22,41
Pampeana,Pan francés,kg,2019-03-01,63.34,71
GBA,Jabón de tocador,125 g,2019-03-01,26.17,50
GBA,Lavandina,1.000 cc,2019-03-01,33.68,56
GBA,Detergente líquido,750 cc,2019-03-01,44.34,26
GBA,Papa,kg,2019-03-01,21.22,74
GBA,Huevos de gallina,Docena,2019-03-01,69.59,44
GBA,Leche fresca entera sachet,Litro,2019-03-01,39.65,62
GBA,Aceite de girasol,"1,5 litros",2019-03-01,98.91,2
GBA,Pollo entero,kg,2019-03-01,90.41,80
GBA,Carne picada común,kg,2019-03-01,134.04,20
GBA,Fideos secos tipo guisero,500 g,2019-03-01,43.89,32
GBA,Arroz blanco simple,kg,2019-03-01,40.94,8
GBA,Harina de trigo común,kg,2019-03-01,31.56,38
GBA,Pan francés,kg,2019-03-01,79.9,68
Noreste,Lavandina,1.000 cc,2019-03-01,32.76,57
Pampeana,Fideos secos tipo guisero,500 g,2019-03-01,40.09,35
Pampeana,Carne picada común,kg,2019-03-01,151.69,23
GBA,Azúcar,kg,2019-03-01,31.63,14
Pampeana,Aceite de girasol,"1,5 litros",2019-03-01,103.23,5
Pampeana,Pollo entero,kg,2019-03-01,90.95,83
Noreste,Papa,kg,2019-03-01,20.72,75
Noreste,Huevos de gallina,Docena,2019-03-01,62.67,45
Noreste,Leche fresca entera sachet,Litro,2019-03-01,43.09,63
Noreste,Aceite de girasol,"1,5 litros",2019-03-01,100.26,3
Noreste,Pollo entero,kg,2019-03-01,84.63,81
Noreste,Carne picada común,kg,2019-03-01,138.74,21
Noreste,Fideos secos tipo guisero,500 g,2019-03-01,33.07,33
Noreste,Arroz blanco simple,kg,2019-03-01,42.37,9
Noreste,Azúcar,kg,2019-03-01,30.36,15
Noreste,Pan francés,kg,2019-03-01,57.36,69
Noreste,Harina de trigo común,kg,2019-03-01,30.66,39
Pampeana,Huevos de gallina,Docena,2019-03-01,69.92,47
Pampeana,Papa,kg,2019-03-01,20.57,77
Pampeana,Azúcar,kg,2019-03-01,31.96,17
Pampeana,Leche fresca entera sachet,Litro,2019-03-01,42.99,65
Pampeana,Lavandina,1.000 cc,2019-03-01,31.57,59
Pampeana,Jabón de tocador,125 g,2019-03-01,27.45,53
Pampeana,Detergente líquido,750 cc,2019-03-01,45.71,29
Noroeste,Lavandina,1.000 cc,2019-04-01,32.11,58
Cuyo,Fideos secos tipo guisero,500 g,2019-04-01,41.34,31
Cuyo,Arroz blanco simple,kg,2019-04-01,43.35,7
Cuyo,Harina de trigo común,kg,2019-04-01,30.08,37
Cuyo,Pan francés,kg,2019-04-01,59.5,67
Cuyo,Carne picada común,kg,2019-04-01,147.41,19
Noroeste,Jabón de tocador,125 g,2019-04-01,27.17,52
Noroeste,Detergente líquido,750 cc,2019-04-01,44.96,28
Noroeste,Aceite de girasol,"1,5 litros",2019-04-01,105.44,4
Noroeste,Papa,kg,2019-04-01,16.28,76
Noroeste,Huevos de gallina,Docena,2019-04-01,68.09,46
Noroeste,Leche fresca entera sachet,Litro,2019-04-01,45.44,64
Noroeste,Pollo entero,kg,2019-04-01,91.45,82
Noroeste,Carne picada común,kg,2019-04-01,155.82,22
Noroeste,Fideos secos tipo guisero,500 g,2019-04-01,34.01,34
Noroeste,Arroz blanco simple,kg,2019-04-01,39.42,10
Cuyo,Pollo entero,kg,2019-04-01,95.84,79
Noroeste,Azúcar,kg,2019-04-01,29.81,16
Cuyo,Leche fresca entera sachet,Litro,2019-04-01,47.31,61
Noroeste,Harina de trigo común,kg,2019-04-01,30.63,40
Cuyo,Papa,kg,2019-04-01,19.1,73
Patagonia,Jabón de tocador,125 g,2019-04-01,30.01,54
Patagonia,Lavandina,1.000 cc,2019-04-01,35.76,60
Patagonia,Detergente líquido,750 cc,2019-04-01,75.2,30
Patagonia,Azúcar,kg,2019-04-01,37.03,18
Patagonia,Papa,kg,2019-04-01,29.5,78
Patagonia,Huevos de gallina,Docena,2019-04-01,84.71,48
Patagonia,Leche fresca entera sachet,Litro,2019-04-01,49.61,66
Patagonia,Aceite de girasol,"1,5 litros",2019-04-01,104.53,6
Cuyo,Huevos de gallina,Docena,2019-04-01,80.47,43
Patagonia,Pollo entero,kg,2019-04-01,101.49,84
Patagonia,Fideos secos tipo guisero,500 g,2019-04-01,46.08,36
Patagonia,Arroz blanco simple,kg,2019-04-01,51.81,12
Patagonia,Harina de trigo común,kg,2019-04-01,34.41,42
Patagonia,Pan francés,kg,2019-04-01,75.61,72
Cuyo,Jabón de tocador,125 g,2019-04-01,28.1,49
Cuyo,Lavandina,1.000 cc,2019-04-01,34.14,55
Cuyo,Detergente líquido,750 cc,2019-04-01,46.84,25
Cuyo,Azúcar,kg,2019-04-01,33.68,13
Patagonia,Carne picada común,kg,2019-04-01,189.76,24
Noroeste,Pan francés,kg,2019-04-01,64.93,70
Cuyo,Aceite de girasol,"1,5 litros",2019-04-01,101.41,1
Noreste,Lavandina,1.000 cc,2019-04-01,34.19,57
Pampeana,Carne picada común,kg,2019-04-01,152.17,23
Pampeana,Fideos secos tipo guisero,500 g,2019-04-01,41.45,35
Pampeana,Arroz blanco simple,kg,2019-04-01,44.88,11
Pampeana,Harina de trigo común,kg,2019-04-01,32.02,41
Pampeana,Pan francés,kg,2019-04-01,64.71,71
GBA,Jabón de tocador,125 g,2019-04-01,27.17,50
GBA,Lavandina,1.000 cc,2019-04-01,34.68,56
GBA,Detergente líquido,750 cc,2019-04-01,46.01,26
Pampeana,Pollo entero,kg,2019-04-01,93.19,83
GBA,Azúcar,kg,2019-04-01,33.86,14
GBA,Huevos de gallina,Docena,2019-04-01,73.78,44
GBA,Leche fresca entera sachet,Litro,2019-04-01,42.25,62
GBA,Aceite de girasol,"1,5 litros",2019-04-01,101.13,2
GBA,Pollo entero,kg,2019-04-01,91.78,80
GBA,Carne picada común,kg,2019-04-01,135.35,20
GBA,Fideos secos tipo guisero,500 g,2019-04-01,46.99,32
GBA,Arroz blanco simple,kg,2019-04-01,42.2,8
GBA,Harina de trigo común,kg,2019-04-01,31.69,38
GBA,Papa,kg,2019-04-01,20.83,74
Pampeana,Aceite de girasol,"1,5 litros",2019-04-01,107.25,5
GBA,Pan francés,kg,2019-04-01,81.56,68
Pampeana,Leche fresca entera sachet,Litro,2019-04-01,46.09,65
Noreste,Detergente líquido,750 cc,2019-04-01,43.41,27
Noreste,Azúcar,kg,2019-04-01,32.2,15
Noreste,Papa,kg,2019-04-01,20.04,75
Noreste,Huevos de gallina,Docena,2019-04-01,65.56,45
Noreste,Leche fresca entera sachet,Litro,2019-04-01,46.24,63
Noreste,Jabón de tocador,125 g,2019-04-01,26.85,51
Noreste,Pollo entero,kg,2019-04-01,92.27,81
Noreste,Carne picada común,kg,2019-04-01,143.0,21
Noreste,Fideos secos tipo guisero,500 g,2019-04-01,35.51,33
Noreste,Aceite de girasol,"1,5 litros",2019-04-01,104.43,3
Noreste,Harina de trigo común,kg,2019-04-01,31.18,39
Noreste,Pan francés,kg,2019-04-01,58.86,69
Pampeana,Jabón de tocador,125 g,2019-04-01,28.43,53
Pampeana,Lavandina,1.000 cc,2019-04-01,32.98,59
Pampeana,Detergente líquido,750 cc,2019-04-01,47.29,29
Pampeana,Azúcar,kg,2019-04-01,33.96,17
Pampeana,Papa,kg,2019-04-01,19.75,77
Pampeana,Huevos de gallina,Docena,2019-04-01,72.45,47
Noreste,Arroz blanco simple,kg,2019-04-01,43.85,9
Noroeste,Jabón de tocador,125 g,2019-05-01,28.21,52
Cuyo,Pan francés,kg,2019-05-01,60.98,67
Cuyo,Harina de trigo común,kg,2019-05-01,31.9,37
Cuyo,Pollo entero,kg,2019-05-01,90.02,79
Cuyo,Fideos secos tipo guisero,500 g,2019-05-01,43.4,31
Cuyo,Carne picada común,kg,2019-05-01,148.25,19
Cuyo,Arroz blanco simple,kg,2019-05-01,44.65,7
Noroeste,Lavandina,1.000 cc,2019-05-01,34.05,58
Noroeste,Arroz blanco simple,kg,2019-05-01,40.69,10
Noroeste,Azúcar,kg,2019-05-01,31.0,16
Noroeste,Papa,kg,2019-05-01,16.34,76
Noroeste,Huevos de gallina,Docena,2019-05-01,69.11,46
Noroeste,Leche fresca entera sachet,Litro,2019-05-01,47.77,64
Noroeste,Aceite de girasol,"1,5 litros",2019-05-01,108.31,4
Noroeste,Pollo entero,kg,2019-05-01,85.41,82
Noroeste,Carne picada común,kg,2019-05-01,159.77,22
Noroeste,Fideos secos tipo guisero,500 g,2019-05-01,34.66,34
Cuyo,Aceite de girasol,"1,5 litros",2019-05-01,103.11,1
Noroeste,Detergente líquido,750 cc,2019-05-01,47.25,28
Cuyo,Leche fresca entera sachet,Litro,2019-05-01,49.09,61
Patagonia,Fideos secos tipo guisero,500 g,2019-05-01,46.84,36
Cuyo,Papa,kg,2019-05-01,18.83,73
Noroeste,Harina de trigo común,kg,2019-05-01,31.27,40
Patagonia,Jabón de tocador,125 g,2019-05-01,31.41,54
Patagonia,Lavandina,1.000 cc,2019-05-01,37.03,60
Patagonia,Detergente líquido,750 cc,2019-05-01,75.82,30
Patagonia,Azúcar,kg,2019-05-01,39.02,18
Patagonia,Papa,kg,2019-05-01,30.26,78
Patagonia,Huevos de gallina,Docena,2019-05-01,87.36,48
Patagonia,Leche fresca entera sachet,Litro,2019-05-01,51.8,66
Cuyo,Huevos de gallina,Docena,2019-05-01,83.12,43
Patagonia,Aceite de girasol,"1,5 litros",2019-05-01,108.88,6
Patagonia,Carne picada común,kg,2019-05-01,197.06,24
Patagonia,Arroz blanco simple,kg,2019-05-01,53.94,12
Patagonia,Harina de trigo común,kg,2019-05-01,35.36,42
Patagonia,Pan francés,kg,2019-05-01,78.78,72
Cuyo,Jabón de tocador,125 g,2019-05-01,29.33,49
Cuyo,Lavandina,1.000 cc,2019-05-01,35.05,55
Cuyo,Detergente líquido,750 cc,2019-05-01,49.75,25
Cuyo,Azúcar,kg,2019-05-01,35.92,13
Patagonia,Pollo entero,kg,2019-05-01,100.27,84
Noroeste,Pan francés,kg,2019-05-01,66.7,70
Noreste,Jabón de tocador,125 g,2019-05-01,27.25,51
Noreste,Lavandina,1.000 cc,2019-05-01,35.37,57
Pampeana,Fideos secos tipo guisero,500 g,2019-05-01,43.4,35
Pampeana,Arroz blanco simple,kg,2019-05-01,46.46,11
Pampeana,Harina de trigo común,kg,2019-05-01,32.98,41
Pampeana,Pan francés,kg,2019-05-01,67.0,71
GBA,Jabón de tocador,125 g,2019-05-01,28.34,50
GBA,Lavandina,1.000 cc,2019-05-01,36.35,56
GBA,Detergente líquido,750 cc,2019-05-01,48.33,26
GBA,Azúcar,kg,2019-05-01,36.17,14
GBA,Papa,kg,2019-05-01,21.06,74
GBA,Huevos de gallina,Docena,2019-05-01,75.56,44
GBA,Leche fresca entera sachet,Litro,2019-05-01,44.32,62
GBA,Aceite de girasol,"1,5 litros",2019-05-01,106.54,2
GBA,Pollo entero,kg,2019-05-01,84.65,80
GBA,Carne picada común,kg,2019-05-01,137.67,20
GBA,Fideos secos tipo guisero,500 g,2019-05-01,48.3,32
GBA,Arroz blanco simple,kg,2019-05-01,44.27,8
GBA,Harina de trigo común,kg,2019-05-01,33.15,38
Pampeana,Carne picada común,kg,2019-05-01,155.3,23
Pampeana,Pollo entero,kg,2019-05-01,88.35,83
GBA,Pan francés,kg,2019-05-01,83.89,68
Pampeana,Leche fresca entera sachet,Litro,2019-05-01,48.29,65
Pampeana,Aceite de girasol,"1,5 litros",2019-05-01,110.14,5
Noreste,Detergente líquido,750 cc,2019-05-01,45.17,27
Noreste,Azúcar,kg,2019-05-01,33.73,15
Noreste,Papa,kg,2019-05-01,20.65,75
Noreste,Huevos de gallina,Docena,2019-05-01,66.59,45
Noreste,Leche fresca entera sachet,Litro,2019-05-01,48.78,63
Noreste,Pollo entero,kg,2019-05-01,90.0,81
Noreste,Carne picada común,kg,2019-05-01,145.5,21
Noreste,Fideos secos tipo guisero,500 g,2019-05-01,36.73,33
Noreste,Aceite de girasol,"1,5 litros",2019-05-01,107.57,3
Noreste,Harina de trigo común,kg,2019-05-01,31.49,39
Noreste,Pan francés,kg,2019-05-01,60.08,69
Pampeana,Huevos de gallina,Docena,2019-05-01,73.98,47
Pampeana,Jabón de tocador,125 g,2019-05-01,29.28,53
Pampeana,Lavandina,1.000 cc,2019-05-01,33.74,59
Pampeana,Detergente líquido,750 cc,2019-05-01,49.06,29
Pampeana,Azúcar,kg,2019-05-01,35.69,17
Pampeana,Papa,kg,2019-05-01,19.89,77
Noreste,Arroz blanco simple,kg,2019-05-01,45.7,9
Noroeste,Jabón de tocador,125 g,2019-06-01,28.9,52
Cuyo,Pan francés,kg,2019-06-01,62.91,67
Cuyo,Carne picada común,kg,2019-06-01,149.01,19
Cuyo,Arroz blanco simple,kg,2019-06-01,45.9,7
Cuyo,Fideos secos tipo guisero,500 g,2019-06-01,43.96,31
Noroeste,Lavandina,1.000 cc,2019-06-01,34.67,58
Cuyo,Harina de trigo común,kg,2019-06-01,33.28,37
Noroeste,Detergente líquido,750 cc,2019-06-01,48.6,28
Noroeste,Arroz blanco simple,kg,2019-06-01,41.65,10
Noroeste,Papa,kg,2019-06-01,17.48,76
Noroeste,Huevos de gallina,Docena,2019-06-01,69.79,46
Noroeste,Leche fresca entera sachet,Litro,2019-06-01,48.89,64
Noroeste,Aceite de girasol,"1,5 litros",2019-06-01,110.27,4
Noroeste,Pollo entero,kg,2019-06-01,82.72,82
Noroeste,Carne picada común,kg,2019-06-01,162.19,22
Noroeste,Fideos secos tipo guisero,500 g,2019-06-01,35.71,34
Cuyo,Pollo entero,kg,2019-06-01,87.33,79
Noroeste,Azúcar,kg,2019-06-01,32.31,16
Cuyo,Aceite de girasol,"1,5 litros",2019-06-01,106.46,1
Patagonia,Arroz blanco simple,kg,2019-06-01,54.22,12
Cuyo,Huevos de gallina,Docena,2019-06-01,82.44,43
Noroeste,Harina de trigo común,kg,2019-06-01,32.22,40
Patagonia,Lavandina,1.000 cc,2019-06-01,38.7,60
Patagonia,Detergente líquido,750 cc,2019-06-01,80.26,30
Patagonia,Azúcar,kg,2019-06-01,40.92,18
Patagonia,Papa,kg,2019-06-01,31.1,78
Patagonia,Huevos de gallina,Docena,2019-06-01,88.74,48
Patagonia,Leche fresca entera sachet,Litro,2019-06-01,52.6,66
Patagonia,Aceite de girasol,"1,5 litros",2019-06-01,111.52,6
Cuyo,Leche fresca entera sachet,Litro,2019-06-01,49.69,61
Patagonia,Pollo entero,kg,2019-06-01,97.65,84
Patagonia,Fideos secos tipo guisero,500 g,2019-06-01,48.37,36
Patagonia,Harina de trigo común,kg,2019-06-01,36.08,42
Patagonia,Pan francés,kg,2019-06-01,82.38,72
Cuyo,Jabón de tocador,125 g,2019-06-01,30.23,49
Cuyo,Lavandina,1.000 cc,2019-06-01,34.67,55
Cuyo,Detergente líquido,750 cc,2019-06-01,51.4,25
Cuyo,Azúcar,kg,2019-06-01,37.23,13
Cuyo,Papa,kg,2019-06-01,19.66,73
Patagonia,Carne picada común,kg,2019-06-01,204.73,24
Noroeste,Pan francés,kg,2019-06-01,69.36,70
Patagonia,Jabón de tocador,125 g,2019-06-01,31.97,54
Noreste,Lavandina,1.000 cc,2019-06-01,34.68,57
Pampeana,Fideos secos tipo guisero,500 g,2019-06-01,43.85,35
Pampeana,Arroz blanco simple,kg,2019-06-01,47.63,11
Pampeana,Harina de trigo común,kg,2019-06-01,33.97,41
Pampeana,Pan francés,kg,2019-06-01,69.59,71
GBA,Jabón de tocador,125 g,2019-06-01,28.96,50
GBA,Lavandina,1.000 cc,2019-06-01,38.0,56
GBA,Detergente líquido,750 cc,2019-06-01,50.29,26
GBA,Azúcar,kg,2019-06-01,38.05,14
Pampeana,Carne picada común,kg,2019-06-01,159.38,23
GBA,Papa,kg,2019-06-01,22.62,74
GBA,Leche fresca entera sachet,Litro,2019-06-01,44.77,62
GBA,Aceite de girasol,"1,5 litros",2019-06-01,108.98,2
GBA,Pollo entero,kg,2019-06-01,84.0,80
GBA,Carne picada común,kg,2019-06-01,137.31,20
GBA,Fideos secos tipo guisero,500 g,2019-06-01,48.47,32
GBA,Arroz blanco simple,kg,2019-06-01,45.36,8
GBA,Harina de trigo común,kg,2019-06-01,34.3,38
GBA,Pan francés,kg,2019-06-01,87.52,68
GBA,Huevos de gallina,Docena,2019-06-01,77.65,44
Pampeana,Pollo entero,kg,2019-06-01,86.4,83
Noreste,Jabón de tocador,125 g,2019-06-01,27.99,51
Pampeana,Leche fresca entera sachet,Litro,2019-06-01,49.01,65
Pampeana,Aceite de girasol,"1,5 litros",2019-06-01,112.49,5
Noreste,Detergente líquido,750 cc,2019-06-01,45.58,27
Noreste,Azúcar,kg,2019-06-01,34.98,15
Noreste,Papa,kg,2019-06-01,21.42,75
Noreste,Huevos de gallina,Docena,2019-06-01,67.45,45
Noreste,Leche fresca entera sachet,Litro,2019-06-01,50.29,63
Noreste,Pollo entero,kg,2019-06-01,89.01,81
Noreste,Carne picada común,kg,2019-06-01,151.78,21
Noreste,Fideos secos tipo guisero,500 g,2019-06-01,37.47,33
Noreste,Aceite de girasol,"1,5 litros",2019-06-01,111.4,3
Noreste,Harina de trigo común,kg,2019-06-01,32.67,39
Noreste,Pan francés,kg,2019-06-01,62.04,69
Pampeana,Huevos de gallina,Docena,2019-06-01,75.08,47
Pampeana,Jabón de tocador,125 g,2019-06-01,30.04,53
Pampeana,Lavandina,1.000 cc,2019-06-01,35.71,59
Pampeana,Detergente líquido,750 cc,2019-06-01,50.94,29
Pampeana,Azúcar,kg,2019-06-01,37.37,17
Pampeana,Papa,kg,2019-06-01,21.49,77
Noreste,Arroz blanco simple,kg,2019-06-01,46.49,9
Noroeste,Jabón de tocador,125 g,2019-07-01,29.53,52
Cuyo,Pan francés,kg,2019-07-01,63.45,67
Cuyo,Carne picada común,kg,2019-07-01,151.0,19
Cuyo,Arroz blanco simple,kg,2019-07-01,47.26,7
Cuyo,Fideos secos tipo guisero,500 g,2019-07-01,45.42,31
Noroeste,Lavandina,1.000 cc,2019-07-01,35.55,58
Cuyo,Harina de trigo común,kg,2019-07-01,33.73,37
Noroeste,Detergente líquido,750 cc,2019-07-01,49.86,28
Noroeste,Arroz blanco simple,kg,2019-07-01,42.65,10
Noroeste,Papa,kg,2019-07-01,18.23,76
Noroeste,Huevos de gallina,Docena,2019-07-01,71.85,46
Noroeste,Leche fresca entera sachet,Litro,2019-07-01,50.01,64
Noroeste,Aceite de girasol,"1,5 litros",2019-07-01,112.61,4
Noroeste,Pollo entero,kg,2019-07-01,81.12,82
Noroeste,Carne picada común,kg,2019-07-01,161.75,22
Noroeste,Fideos secos tipo guisero,500 g,2019-07-01,36.01,34
Cuyo,Pollo entero,kg,2019-07-01,86.0,79
Noroeste,Azúcar,kg,2019-07-01,33.05,16
Cuyo,Aceite de girasol,"1,5 litros",2019-07-01,111.3,1
Patagonia,Arroz blanco simple,kg,2019-07-01,54.95,12
Cuyo,Huevos de gallina,Docena,2019-07-01,82.29,43
Noroeste,Harina de trigo común,kg,2019-07-01,32.93,40
Patagonia,Lavandina,1.000 cc,2019-07-01,39.86,60
Patagonia,Detergente líquido,750 cc,2019-07-01,85.0,30
Patagonia,Azúcar,kg,2019-07-01,42.54,18
Patagonia,Papa,kg,2019-07-01,32.01,78
Patagonia,Huevos de gallina,Docena,2019-07-01,88.7,48
Patagonia,Leche fresca entera sachet,Litro,2019-07-01,54.21,66
Patagonia,Aceite de girasol,"1,5 litros",2019-07-01,115.96,6
Cuyo,Leche fresca entera sachet,Litro,2019-07-01,51.37,61
Patagonia,Pollo entero,kg,2019-07-01,94.72,84
Patagonia,Fideos secos tipo guisero,500 g,2019-07-01,49.66,36
Patagonia,Harina de trigo común,kg,2019-07-01,36.62,42
Patagonia,Pan francés,kg,2019-07-01,85.22,72
Cuyo,Jabón de tocador,125 g,2019-07-01,30.42,49
Cuyo,Lavandina,1.000 cc,2019-07-01,35.86,55
Cuyo,Detergente líquido,750 cc,2019-07-01,51.85,25
Cuyo,Azúcar,kg,2019-07-01,38.23,13
Cuyo,Papa,kg,2019-07-01,20.47,73
Patagonia,Carne picada común,kg,2019-07-01,204.21,24
Noroeste,Pan francés,kg,2019-07-01,70.62,70
Patagonia,Jabón de tocador,125 g,2019-07-01,32.8,54
Noreste,Lavandina,1.000 cc,2019-07-01,35.48,57
Pampeana,Fideos secos tipo guisero,500 g,2019-07-01,44.39,35
Pampeana,Arroz blanco simple,kg,2019-07-01,49.14,11
Pampeana,Harina de trigo común,kg,2019-07-01,34.42,41
Pampeana,Pan francés,kg,2019-07-01,71.76,71
GBA,Jabón de tocador,125 g,2019-07-01,30.15,50
GBA,Lavandina,1.000 cc,2019-07-01,38.63,56
GBA,Detergente líquido,750 cc,2019-07-01,51.29,26
GBA,Azúcar,kg,2019-07-01,39.17,14
Pampeana,Carne picada común,kg,2019-07-01,160.42,23
GBA,Papa,kg,2019-07-01,24.22,74
GBA,Leche fresca entera sachet,Litro,2019-07-01,46.88,62
GBA,Aceite de girasol,"1,5 litros",2019-07-01,112.8,2
GBA,Pollo entero,kg,2019-07-01,80.72,80
GBA,Carne picada común,kg,2019-07-01,141.22,20
GBA,Fideos secos tipo guisero,500 g,2019-07-01,49.29,32
GBA,Arroz blanco simple,kg,2019-07-01,45.83,8
GBA,Harina de trigo común,kg,2019-07-01,34.85,38
GBA,Pan francés,kg,2019-07-01,88.68,68
GBA,Huevos de gallina,Docena,2019-07-01,77.75,44
Pampeana,Pollo entero,kg,2019-07-01,83.79,83
Noreste,Jabón de tocador,125 g,2019-07-01,29.09,51
Pampeana,Leche fresca entera sachet,Litro,2019-07-01,50.65,65
Noreste,Detergente líquido,750 cc,2019-07-01,48.17,27
Noreste,Azúcar,kg,2019-07-01,35.49,15
Noreste,Papa,kg,2019-07-01,22.1,75
Noreste,Huevos de gallina,Docena,2019-07-01,67.67,45
Noreste,Leche fresca entera sachet,Litro,2019-07-01,51.68,63
Pampeana,Aceite de girasol,"1,5 litros",2019-07-01,116.68,5
Noreste,Pollo entero,kg,2019-07-01,87.02,81
Noreste,Carne picada común,kg,2019-07-01,154.82,21
Noreste,Fideos secos tipo guisero,500 g,2019-07-01,38.05,33
Noreste,Aceite de girasol,"1,5 litros",2019-07-01,111.83,3
Noreste,Harina de trigo común,kg,2019-07-01,34.31,39
Noreste,Pan francés,kg,2019-07-01,63.44,69
Pampeana,Jabón de tocador,125 g,2019-07-01,31.1,53
Pampeana,Lavandina,1.000 cc,2019-07-01,36.22,59
Pampeana,Detergente líquido,750 cc,2019-07-01,52.3,29
Pampeana,Azúcar,kg,2019-07-01,38.46,17
Pampeana,Papa,kg,2019-07-01,23.29,77
Pampeana,Huevos de gallina,Docena,2019-07-01,75.81,47
Noreste,Arroz blanco simple,kg,2019-07-01,46.89,9
Noroeste,Lavandina,1.000 cc,2019-08-01,37.38,58
Noroeste,Jabón de tocador,125 g,2019-08-01,31.32,52
Cuyo,Pan francés,kg,2019-08-01,67.7,67
Cuyo,Carne picada común,kg,2019-08-01,156.84,19
Cuyo,Arroz blanco simple,kg,2019-08-01,50.93,7
Cuyo,Fideos secos tipo guisero,500 g,2019-08-01,45.59,31
Cuyo,Harina de trigo común,kg,2019-08-01,35.23,37
Noroeste,Detergente líquido,750 cc,2019-08-01,52.73,28
Noroeste,Harina de trigo común,kg,2019-08-01,34.39,40
Noroeste,Papa,kg,2019-08-01,20.02,76
Noroeste,Huevos de gallina,Docena,2019-08-01,72.42,46
Noroeste,Leche fresca entera sachet,Litro,2019-08-01,52.97,64
Noroeste,Aceite de girasol,"1,5 litros",2019-08-01,121.69,4
Noroeste,Pollo entero,kg,2019-08-01,82.52,82
Noroeste,Carne picada común,kg,2019-08-01,168.94,22
Noroeste,Fideos secos tipo guisero,500 g,2019-08-01,38.12,34
Noroeste,Arroz blanco simple,kg,2019-08-01,45.41,10
Cuyo,Pollo entero,kg,2019-08-01,88.01,79
Noroeste,Azúcar,kg,2019-08-01,33.62,16
Cuyo,Aceite de girasol,"1,5 litros",2019-08-01,116.32,1
Patagonia,Arroz blanco simple,kg,2019-08-01,55.88,12
Cuyo,Huevos de gallina,Docena,2019-08-01,81.66,43
Noroeste,Pan francés,kg,2019-08-01,74.15,70
Patagonia,Lavandina,1.000 cc,2019-08-01,40.05,60
Patagonia,Detergente líquido,750 cc,2019-08-01,87.47,30
Patagonia,Azúcar,kg,2019-08-01,43.13,18
Patagonia,Papa,kg,2019-08-01,34.81,78
Patagonia,Huevos de gallina,Docena,2019-08-01,89.6,48
Patagonia,Leche fresca entera sachet,Litro,2019-08-01,56.12,66
Patagonia,Aceite de girasol,"1,5 litros",2019-08-01,116.82,6
Cuyo,Leche fresca entera sachet,Litro,2019-08-01,53.12,61
Patagonia,Pollo entero,kg,2019-08-01,97.95,84
Patagonia,Fideos secos tipo guisero,500 g,2019-08-01,49.72,36
Patagonia,Harina de trigo común,kg,2019-08-01,38.05,42
Patagonia,Pan francés,kg,2019-08-01,88.02,72
Cuyo,Jabón de tocador,125 g,2019-08-01,32.71,49
Cuyo,Lavandina,1.000 cc,2019-08-01,37.32,55
Cuyo,Detergente líquido,750 cc,2019-08-01,54.38,25
Cuyo,Azúcar,kg,2019-08-01,39.29,13
Cuyo,Papa,kg,2019-08-01,22.73,73
Patagonia,Carne picada común,kg,2019-08-01,213.67,24
Patagonia,Jabón de tocador,125 g,2019-08-01,34.76,54
Noreste,Jabón de tocador,125 g,2019-08-01,30.98,51
