Región,Productos seleccionados,Unidad de medida,Año 2017,,,,,,,,Año 2018,,,,,,,,,,,,,Año 2019,,,,,,,,,,,,,Año 2020,,,,,,,,,,,,,Año 2021,,,,,,,,,,,,,Año 2022,,,,,,,,,,,,,Año 2023,,,,,,,,,,,,,Año 2024,,,,,,,,,,,,,Año 2025,
,,,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero ,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero
,,,Pesos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noroeste,Leche fresca entera sachet,Litro,21.55,22.53,22.58,22.89,22.76,23.2,23.33,,23.62,23.88,23.88,24.62,25.03,25.62,26.14,27.4,29.24,31.85,33.02,35,,37.11,38.12,41.73,45.44,47.77,48.89,50.01,52.97,52.58,53.04,54.4,54.17,,57.59,59.42,60.61,63.4,63.83,62.75,63.13,63.72,65.07,65.99,67.29,68.57,,69.28,73.07,78.52,84.2648883939998,88.6459312,92.6842660907239,96.3727775682868,99.57794675,101.63,104,104.71,106.8,,109.97,114.2,121.87,129,136.36,145.51,158.27,171.88,181.7,200.76,213.35,222.27,,233.26,248.61,266.71,288.13,319.65,348.59,373.51,401.44,436.52,461.5,507.62,644.37,,842.32,982.02,1107.31,1250.42,1287.7,1327.36,1334.74,1384.56,1395.83,1418.1,1450.59,1458.13,,1480.28,1510.54
Noroeste,Huevos de gallina,Docena,30.08,30.32,30.47,30.54,30.81,30.99,31.17,,31.46,33.87,41.52,45.19,46.24,47.49,47.68,48.47,52.3,56.39,56.69,57.58,,57.76,59.83,66.05,68.09,69.11,69.79,71.85,72.42,73.23,73.99,75.15,76.69,,78.48,81.76,90.27,110.07,112.38,123.19,124.46,124.22,126.31,127.05,127.5,127.36,,127.24,130.41,130.43,129.855770282198,129.9367972,132.990562734261,139.869379800349,143.3424205,142.07,141.63,140.34,142.73,,145.99,193.62,237.02,248.63,249.56,254.46,301.51,347.29,355.33,360.93,369.97,377.93,,385.76,441.23,597.96,654.31,742.78,764.31,790.46,930.03,1095.08,1128.34,1182.17,1354.08,,1566.74,1709.66,1984.23,2214.08,2257.18,2327.89,2392.51,2484.09,2530.45,2574.06,2618.41,2645.06,,2686.07,2810.06
Noroeste,Papa,kg,11.33,10.82,11.21,11.47,11.55,13.47,13.54,,13.26,12.54,12.18,11.54,11.59,11.75,11.52,11.5,12.41,17.56,18.04,15.29,,15.9,15.44,16.8,16.28,16.34,17.48,18.23,20.02,22.3,20.55,19.91,19.4,,23.31,28.12,28.64,34.06,32.39,29.8,30.43,30.29,30.99,40.52,46.17,49.5,,51.95,49.75,47.4,46.58845442714,45.21807615,44.0802165538468,42.7511270536942,39.92042284,40.43,40.14,42.22,39.05,,46.43,59.27,57.51,58.47,58.78,72.99,75.74,97.04,110.26,162.54,150.59,150.5,,227.56,217.49,198.82,197.21,202.5,269.38,350.66,439.58,472.04,425.08,432.6,526.01,,610.17,627.85,608.84,589.94,592.08,604.71,730.32,1142.16,1128.62,1092.39,835.06,722.55,,583.1,587.3
Noroeste,Azúcar,kg,16.35,16.53,16.54,16.64,16.87,17.36,17.92,,18.27,18.91,19.58,20.1,20.78,21.04,21.36,21.51,22.58,23.35,23.56,24.03,,24.64,25.97,27.66,29.81,31,32.31,33.05,33.62,34.67,34.83,35.41,37.18,,42.49,51.55,56.51,59.38,59.51,60.22,59.91,60.84,61.02,61.62,62.09,62.38,,63.27,64.12,64.78,65.7230102027368,66.35302177,66.7817978447139,68.0076146636195,71.8793753,75.3,77.72,79.15,81.45,,84.42,90.8,98.79,108.67,115.41,121.73,153.58,195.79,211.37,220.44,224.77,233.55,,245.4,274.95,314.46,364.78,467.54,553.08,605.25,713.19,839.92,907.49,965.29,1099.06,,1180.71,1169.09,1133.05,1064.41,1004.82,972.28,960.8,943.11,959.86,954,955.25,963.63,,971.69,965.35
Noroeste,Detergente líquido,750 cc,23.05,23.57,23.92,23.91,24.34,24.39,23.35,,23.63,23.35,23.34,23.99,24.99,25.55,26.73,28.07,31.26,33.89,36,36.71,,39.84,41.52,42.89,44.96,47.25,48.6,49.86,52.73,59.25,59.44,60.43,62,,64.12,65.49,68.79,66.54,67.02,68.49,70.57,71.22,69.12,71.86,74.47,74.87,,78.08,82.33,86.2,89.4926993507551,90.46052308,94.1019871059506,95.2321600703081,98.56176791,101.57,104.63,105.15,108.76,,118.27,127.16,131.85,143.06,148.28,156.95,167.07,182.23,193.14,205.88,217.5,226.67,,241.91,253.75,254,271.64,307.25,340.64,362.79,409.75,436.61,509.38,575.36,783.4,,1127.97,1328.22,1464.56,1496.45,1547.66,1535.91,1585.11,1614.89,1688.11,1731.85,1724.67,1703.66,,1732.94,1756.37
Noroeste,Lavandina,1.000 cc,14.75,14.95,15.18,15.43,15.74,15.86,16.31,,16.81,16.86,16.84,17.97,18.63,19.36,20.4,20.71,23.42,25.48,26.62,27.99,,28.9,29.47,30.1,32.11,34.05,34.67,35.55,37.38,41.01,41.62,43.33,44.89,,46.97,47.72,48.36,51.07,51.51,50.9,51.96,52.77,52.45,54.18,55.37,55.3,,55.54,57.26,59.92,63.2853853861559,65.66319466,67.9799748269963,68.9766122340265,69.86548673,72.77,74.28,75.67,78.66,,81.5,85.4,88.58,92.46,95.37,100.98,110.06,119.65,130.68,138.93,150.89,157.36,,167.22,174.02,183.9,198.42,217.48,237.17,251.72,284.01,327.97,355.69,400.31,551.22,,792.14,898.96,967.54,995.24,1019.84,1016.13,1030.2,1060.08,1086.83,1085.68,1105.68,1117.9,,1134.48,1137.01
Noroeste,Jabón de tocador,125 g,14.65,14.73,15.05,15.24,15.31,15.51,15.7,,15.72,15.45,15.86,16.16,16.66,17.48,18.18,19.28,20.68,22.21,23.26,24.22,,24.78,25.49,25.98,27.17,28.21,28.9,29.53,31.32,34.01,34.78,37.26,38.28,,38.92,40.44,42.15,42.3,42.8,42.86,43.41,44.54,45.19,46.44,46.96,48.58,,49.3,51.58,52.49,53.2114048561349,54.57119355,55.6377594441244,58.072627252083,59.61496461,62.17,64.52,65.04,69.12,,72.51,77.56,83.89,88.93,93.84,102.59,112.66,125.59,132.83,143.5,151.35,160.72,,169.78,180.93,187.78,200.88,214.75,230.59,238.21,256.36,277.32,295.8,322.33,426.4,,648.86,718.05,759.96,775.33,780.09,778.12,795.22,825.6,851.85,869.16,900.39,895.09,,918.68,946.66
Cuyo,Pan francés,kg,28.12,28.34,28.82,28.99,29.35,29.35,29.34,,29.4,29.94,31.82,34.7,38.15,41.86,42.33,43.09,49.69,52.21,52.35,53.27,,54.35,55.36,57.67,59.5,60.98,62.91,63.45,67.7,70.94,72.16,75.87,76.21,,78.47,80.5,83.71,85.66,86.34,87.39,87.37,87.32,88.86,91.65,95.14,96.58,,100.68,108.86,113.92,120.10559944326,126.5113182,130.850884442486,136.045204228929,137.4961804,139.25,140.41,144.22,148.78,,151.07,158.61,200.94,220.7,230.43,241.09,251.03,265.01,274.28,285.22,301.77,315.66,,331.08,346.72,371.08,405.84,442.99,473.83,500.31,587.77,663.09,706.52,812.87,1002.74,,1199.61,1321.29,1426.77,1452.02,1546.82,1613.67,1688.35,1750.8,1762.28,1771.89,1797.87,1810.58,,1847.45,1896.31
Cuyo,Harina de trigo común,kg,10.45,10.28,10.46,10.49,10.58,10.51,10.76,,10.8,11.29,11.97,12.88,16.03,20.85,22.22,23.69,27.61,29.17,29.13,29.89,,29.86,29.85,29.88,30.08,31.9,33.28,33.73,35.23,37.91,37.83,38.05,38.59,,40.47,42.11,42.5,42.52,43.17,47.44,47.12,47.74,48.98,49.1,50.24,51.01,,52.51,52.95,53.29,53.0637980397714,56.25393573,58.8791922383713,59.6723304097307,61.08006404,61.18,62.29,62.17,64.88,,67.99,69.29,82.8,91.11,96.23,104.03,110.41,122.05,130.45,137.89,151.44,160.6,,165.37,175.38,185.16,187.65,200.62,208.52,218.73,235.34,259.52,300.5,380.66,537.08,,695.71,764.93,800.88,780.58,803.93,833.38,878.36,874.72,871.54,867.97,839.74,832.49,,845.39,842.13
Cuyo,Arroz blanco simple,kg,18.28,18.86,19.27,19.13,19.6,20.81,21.06,,21.48,22.03,23.34,23.67,23.84,25.28,26.56,28.03,33.3,37.78,38.07,38.57,,38.91,39.8,41.05,43.35,44.65,45.9,47.26,50.93,53.47,54.95,57.6,58.37,,65.26,71.03,70.64,70.31,69.09,79.18,82.93,85.08,86.45,90.87,95.19,92.83,,100.19,101.96,108.27,112.964781347443,119.9203562,123.944305833447,123.765400414295,125.5342302,129.42,131.94,131.3,135.7,,140.8,141.39,141.58,151.52,151.95,152.64,159.71,166.81,179.87,189.53,203.05,219.19,,230.56,251.57,284.04,316.55,373.97,433.65,483.15,550.52,717.19,828.23,1052.98,1477.52,,1975.49,2247.43,2351.07,2395.14,2341.35,2318.03,2335.6,2333.3,2295.24,2294.05,2267.79,2287.17,,2260.51,2230.92
